USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
abhinavsuri        831   0.0  0.1 486382192  10112   ??  S    11:17PM   0:17.63 /Applications/Spotify.app/Contents/Frameworks/Spotify Helper.app/Contents/MacOS/Spotify Helper --type=gpu-process --start-stack-profiler --user-data-dir=/Users/abhinavsuri/Library/Caches/com.spotify.client --log-severity=disable --user-agent-product=Chrome/146.0.7680.179 Spotify/1.2.98.301 --gpu-preferences=SAAAAAAAAAAgAQAEAAAAAAAAAAAAAGAAAwAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAQAAAAAAAAABAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --metrics-shmem-handle=1752395122,r,5459429617900798709,3029108736904224418,262144 --field-trial-handle=1718379636,r,9121748217547424797,13873772898383627748,262144 --disable-features=AutofillActorMode,BackForwardCache,FullscreenBubbleShowOrigin,GatherProcessRequirementMetrics,GlicActorUi,LensOverlay,MacAppCodeSignClone,PartitionAllocDanglingPtr,PartitionAllocUnretainedDanglingPtr,StorageNotificationService --variations-seed-version --pseudonymization-salt-handle=1935764596,r,5900328165181665128,8188878054455220361,4 --trace-process-track-uuid=3190708988185955192 --seatbelt-client=18
abhinavsuri        826   0.0  0.0 485848000   2080   ??  S    11:17PM   0:00.04 /Applications/Spotify.app/Contents/Frameworks/Spotify Helper.app/Contents/MacOS/Spotify Helper --monitor-self-annotation=ptype=crashpad-handler --type=crashpad-handler --max-uploads=5 --max-db-size=20 --max-db-age=5 --database=/Users/abhinavsuri/Library/Caches/com.spotify.client --url=https://crashdump.spotify.com:443/ --annotation=platform=macosarm64 --annotation=product=spotify --annotation=version=1.2.98.301 --handshake-fd=6
abhinavsuri        824   0.0  0.0 435341776   3808   ??  S    11:17PM   0:00.41 /usr/libexec/bluetoothuserd
abhinavsuri        816   0.0  0.0 435342736   2752   ??  S    11:17PM   0:00.56 /System/Library/PrivateFrameworks/EmailDaemon.framework/Versions/A/maild
abhinavsuri        813   0.0  0.0 435369760   3536   ??  S    11:17PM   0:02.39 /usr/libexec/icloudmailagent
abhinavsuri        805   0.0  0.0 435341600   2176   ??  S    11:17PM   0:00.16 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -a
abhinavsuri        802   0.0  0.0 435300448   1440   ??  S    11:17PM   0:00.04 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
abhinavsuri        803   0.0  0.0 435321968   3872   ??  S    11:17PM   0:00.54 /usr/libexec/avconferenced
abhinavsuri        800   0.0  0.1 435370912   5552   ??  Ss   11:17PM   0:00.79 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension -AppleLanguages ("en-IN")
abhinavsuri        793   0.0  0.0 435756464   2656   ??  Ss   11:17PM   0:00.98 /System/Applications/Reminders.app/Contents/PlugIns/RemindersWidgetExtension.appex/Contents/MacOS/RemindersWidgetExtension -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5yZW1pbmRlcnMuV2lkZ2V0RXh0ZW5zaW9uIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
abhinavsuri        795   0.0  0.0 435346208   3104   ??  S    11:17PM   0:00.18 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
abhinavsuri        789   0.0  0.0 435341264   3072   ??  S    11:17PM   0:00.19 /System/Library/PrivateFrameworks/CoreRecents.framework/Versions/A/Support/recentsd
abhinavsuri        743   0.0  0.0 435571184   3632   ??  Ss   11:17PM   0:00.31 /System/Applications/Journal.app/Contents/PlugIns/JournalWidgets.appex/Contents/MacOS/JournalWidgets -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5qb3VybmFsLndpZGdldHMiLCJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZX0=
abhinavsuri        787   0.0  0.0 435350592   2576   ??  Ss   11:17PM   0:01.13 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
abhinavsuri        785   0.0  0.1 439801392   5344   ??  S    11:17PM   0:04.68 /System/Library/PrivateFrameworks/AppleMediaServicesUI.framework/amsengagementd
abhinavsuri        782   0.0  0.1 435353872   8784   ??  S    11:17PM   0:01.35 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
abhinavsuri        784   0.0  0.0 435445472   3824   ??  Ss   11:17PM   0:00.18 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.external.extra.arm64.xpc/Contents/MacOS/com.apple.dock.external.extra.arm64
abhinavsuri        783   0.0  0.1 435393952  11040   ??  Ss   11:17PM   0:00.51 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
_fpsd              780   0.0  0.0 410195120   2704   ??  Ss   11:17PM   0:00.90 /System/Library/PrivateFrameworks/CoreADI.framework/adid
abhinavsuri        773   0.0  0.1 435347472   4848   ??  S    11:17PM   0:02.06 /System/Library/PrivateFrameworks/AppleMediaServices.framework/Resources/amsaccountsd
abhinavsuri        771   0.0  0.1 435381680   7712   ??  S    11:17PM   0:02.64 /usr/libexec/searchpartyuseragent
root              3307   0.0  0.0 435299920   1664   ??  R    12:02AM   0:00.00 ps aux
abhinavsuri        765   0.0  0.0 435349552   2928   ??  S    11:17PM   0:02.05 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
abhinavsuri        761   0.0  0.0 435385456   4032   ??  S    11:17PM   0:07.90 /System/Library/PrivateFrameworks/MediaAnalysis.framework/Versions/A/mediaanalysisd
abhinavsuri        759   0.0  0.0 435473824   3280   ??  S    11:17PM   0:00.28 /System/Cryptexes/App/usr/libexec/com.apple.Safari.History
abhinavsuri        757   0.0  0.0 435345552   3968   ??  S    11:17PM   0:01.57 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
abhinavsuri        754   0.0  0.2 436174224  18560   ??  S    11:17PM   0:16.80 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
abhinavsuri        753   0.0  0.1 435346528   7728   ??  S    11:17PM   0:02.05 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
abhinavsuri        749   0.0  0.1 435352560   6720   ??  S    11:17PM   0:00.93 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
root               748   0.0  0.0 435342208   2544   ??  Ss   11:17PM   0:00.71 /usr/libexec/ospredictiond
abhinavsuri        745   0.0  0.1 435523072   6832   ??  S    11:17PM   0:08.16 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
abhinavsuri        738   0.0  0.0 435340320   2288   ??  S    11:17PM   0:00.06 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
abhinavsuri        737   0.0  0.0 435353152   3152   ??  Ss   11:17PM   0:00.30 /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.iCloudDriveFileProvider.appex/Contents/MacOS/com.apple.CloudDocs.iCloudDriveFileProvider -LaunchArguments eyJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuQ2xvdWREb2NzLmlDbG91ZERyaXZlRmlsZVByb3ZpZGVyIn0=
abhinavsuri        725   0.0  0.1 435462832   4624   ??  Ss   11:17PM   0:04.51 /System/Library/ExtensionKit/Extensions/WallpaperAerialsExtension.appex/Contents/MacOS/WallpaperAerialsExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS53YWxscGFwZXIuZXh0ZW5zaW9uLmFlcmlhbHMiLCJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZX0=
abhinavsuri        731   0.0  0.0 435340224   2176   ??  S    11:17PM   0:00.37 /System/Library/CoreServices/pbs
abhinavsuri        730   0.0  0.1 435349280   5472   ??  S    11:17PM   0:01.25 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem system_app_start
abhinavsuri        726   0.0  0.3 435718992  25136   ??  S    11:17PM   0:15.65 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
root               721   0.0  0.1 435354112   5952   ??  Ss   11:17PM   0:03.57 /usr/libexec/wifip2pd
_oahd              719   0.0  0.0 435301456    816   ??  Ss   11:17PM   0:00.02 /usr/libexec/rosetta/oahd
abhinavsuri        710   0.0  0.0 435345312   2944   ??  S    11:17PM   0:00.36 /usr/libexec/intelligentroutingd
abhinavsuri        705   0.0  0.1 435506560   8160   ??  S    11:17PM   0:09.77 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
abhinavsuri        709   0.0  0.0 435352368   2112   ??  S    11:17PM   0:00.10 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
abhinavsuri        713   0.0  0.0 435340384   3024   ??  S    11:17PM   0:00.28 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
abhinavsuri        708   0.0  0.1 435609696  10432   ??  S    11:17PM   0:09.20 /System/Library/CoreServices/iconservicesagent
abhinavsuri        707   0.0  0.1 435360592   8928   ??  S    11:17PM   0:03.08 /System/Library/PrivateFrameworks/CalendarDaemon.framework/Support/calaccessd
abhinavsuri        704   0.0  0.0 435342656   3936   ??  S    11:17PM   0:00.27 /System/Library/CoreServices/sharedfilelistd
root               703   0.0  0.0 435306208    992   ??  Ss   11:17PM   0:00.10 automountd
abhinavsuri        700   0.0  0.0 435341936   2912   ??  S    11:17PM   0:02.70 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
abhinavsuri        702   0.0  0.1 435342112   5552   ??  S    11:17PM   0:01.34 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
root               701   0.0  0.1 435318448   5312   ??  Ss   11:17PM   0:00.62 /usr/sbin/filecoordinationd
abhinavsuri        697   0.0  0.0 435304992   3584   ??  Ss   11:17PM   0:00.19 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
abhinavsuri        695   0.0  0.0 435398464   4112   ??  S    11:17PM   0:05.51 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
abhinavsuri        691   0.0  0.1 435343648   5008   ??  S    11:17PM   0:02.93 /usr/libexec/ContinuityCaptureAgent server
abhinavsuri        694   0.0  0.1 435579952   4208   ??  S    11:17PM   0:00.55 /System/Library/CoreServices/AccessibilityUIServer.app/Contents/MacOS/AccessibilityUIServer
abhinavsuri        689   0.0  0.1 435346832   5232   ??  S    11:17PM   0:00.72 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
abhinavsuri        688   0.0  0.1 435584464   5936   ??  S    11:17PM   0:00.61 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
abhinavsuri        687   0.0  0.1 435367072   5568   ??  S    11:17PM   0:04.10 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
abhinavsuri        684   0.0  0.1 435624976   9152   ??  S    11:17PM   0:04.43 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
abhinavsuri        682   0.0  0.1 435350624   8528   ??  S    11:17PM   0:03.19 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
abhinavsuri        679   0.0  0.0 435348048   3792   ??  S    11:17PM   0:00.84 /usr/libexec/findmylocateagent
abhinavsuri        675   0.0  0.1 435382112   6928   ??  S    11:17PM   0:01.80 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
root               674   0.0  0.0 435357888   3696   ??  Ss   11:17PM   0:00.52 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSODaemon
abhinavsuri        667   0.0  0.0 435342000   3232   ??  S    11:17PM   0:17.88 /usr/libexec/swcd
abhinavsuri        668   0.0  0.1 435425728  12400   ??  S    11:17PM   1:11.38 /usr/libexec/duetexpertd
abhinavsuri        670   0.0  0.0 435341936   2768   ??  S    11:17PM   0:00.28 /System/Library/PrivateFrameworks/SessionCore.framework/Support/liveactivitiesd
abhinavsuri        666   0.0  0.2 435463040  13008   ??  S    11:17PM   0:19.98 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
abhinavsuri        664   0.0  0.1 435344960   5216   ??  S    11:17PM   0:03.21 /usr/libexec/networkserviceproxy
abhinavsuri        661   0.0  0.0 435355104   3856   ??  S    11:17PM   0:02.85 /System/Library/PrivateFrameworks/iCloudDriveCore.framework/Versions/A/Support/bird
abhinavsuri        662   0.0  0.1 435385280   6304   ??  S    11:17PM   0:39.47 /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd
abhinavsuri        660   0.0  0.1 435362784   9600   ??  S    11:17PM   0:06.28 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
abhinavsuri        659   0.0  0.1 435724624   4992   ??  S    11:17PM   0:14.41 /System/Library/PrivateFrameworks/ReplicatorCore.framework/Support/replicatord
abhinavsuri        658   0.0  0.0 435363808   2208   ??  S    11:17PM   0:00.54 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
abhinavsuri        656   0.0  0.1 435352752   5840   ??  S    11:17PM   0:02.41 /usr/libexec/pkd
abhinavsuri        657   0.0  0.1 435361296   8752   ??  S    11:17PM   0:10.93 /System/Library/Frameworks/Contacts.framework/Support/contactsd
_ctkd              654   0.0  0.0 435340336   2080   ??  Ss   11:17PM   0:00.11 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -st
abhinavsuri        653   0.0  0.0 435340976   3264   ??  S    11:17PM   0:01.00 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
abhinavsuri        652   0.0  0.1 435344720   5696   ??  S    11:17PM   0:02.72 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
abhinavsuri        651   0.0  0.0 435340400   3152   ??  S    11:17PM   0:01.61 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
abhinavsuri        623   0.0  0.1 435352736   5424   ??  S    11:17PM   0:01.73 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
abhinavsuri        644   0.0  0.1 435346816   7872   ??  S    11:17PM   0:01.48 /System/Library/CoreServices/audioaccessoryd
abhinavsuri        642   0.0  0.0 435340848   2752   ??  S    11:17PM   0:06.84 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
abhinavsuri        641   0.0  0.0 435349520   3552   ??  S    11:17PM   0:01.32 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
abhinavsuri        640   0.0  0.0 435345776   3600   ??  S    11:17PM   0:00.56 /usr/libexec/dmd
abhinavsuri        638   0.0  0.0 435346976   3968   ??  S    11:17PM   0:01.87 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
abhinavsuri        637   0.0  0.1 435410352   9696   ??  S    11:17PM   0:05.16 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
abhinavsuri        634   0.0  0.1 435359568   8720   ??  S    11:17PM   0:05.45 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
abhinavsuri        632   0.0  0.1 435415040  11456   ??  S    11:17PM   0:08.08 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
abhinavsuri        631   0.0  0.2 435373408  15408   ??  S    11:17PM   0:02.26 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
abhinavsuri        630   0.0  0.0 435341184   3216   ??  S    11:17PM   0:00.71 /System/Library/CoreServices/lockoutagent
root               629   0.0  0.0 435305856   1952   ??  Ss   11:17PM   0:00.09 /usr/sbin/BTLEServer
abhinavsuri        628   0.0  0.0 435369968   3984   ??  S    11:17PM   0:02.05 /System/Library/CoreServices/talagentd
_appleevents       624   0.0  0.0 435305568   1344   ??  S    11:17PM   0:00.22 /usr/sbin/distnoted agent
abhinavsuri        627   0.0  0.0 435305536   2688   ??  S    11:17PM   0:00.54 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
abhinavsuri        626   0.0  0.0 435352784   2896   ??  S    11:17PM   0:00.98 /usr/libexec/secinitd
abhinavsuri        621   0.0  0.2 435352448  13600   ??  S    11:17PM   0:03.22 /usr/sbin/usernoted
abhinavsuri        620   0.0  0.1 435356848   8832   ??  S    11:17PM   0:05.71 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
abhinavsuri        619   0.0  0.1 435431232   7920   ??  S    11:17PM   0:16.02 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
abhinavsuri        617   0.0  0.1 435347088   4832   ??  S    11:17PM   0:04.17 /usr/libexec/nsurlsessiond
abhinavsuri        614   0.0  0.0 435416144   3808   ??  S    11:17PM   0:01.13 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
abhinavsuri        613   0.0  0.0 435305248   2816   ??  S    11:17PM   0:00.17 /usr/libexec/findmydevice-user-agent
root               612   0.0  0.1 435368784   6640   ??  Ss   11:17PM   0:05.66 /usr/libexec/searchpartyd
abhinavsuri        607   0.0  0.0 435340160   3008   ??  S    11:17PM   0:00.62 /usr/libexec/neagent
abhinavsuri        605   0.0  0.1 435376736   8864   ??  S    11:17PM   0:02.82 /usr/libexec/linkd
_mds_stores        606   0.0  0.4 483031648  35664   ??  Ss   11:17PM   1:32.52 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
root               604   0.0  0.1 435343472   4320   ??  Ss   11:17PM   0:01.16 /usr/libexec/findmydeviced
abhinavsuri        603   0.0  0.1 435354496   6464   ??  S    11:17PM   0:05.31 /usr/libexec/lsd
abhinavsuri        601   0.0  0.1 435342608  10224   ??  S    11:17PM   0:08.90 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
abhinavsuri        594   0.0  0.1 435354128  11152   ??  S    11:17PM   0:01.78 /usr/libexec/knowledge-agent
abhinavsuri        589   0.0  0.1 435343296   7296   ??  S    11:17PM   0:04.03 /usr/libexec/UserEventAgent (Aqua)
abhinavsuri        599   0.0  0.1 435340272   4816   ??  S    11:17PM   0:01.96 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
abhinavsuri        598   0.0  0.1 435318112   5680   ??  S    11:17PM   0:00.37 /usr/libexec/pboard
abhinavsuri        595   0.0  0.1 435535328   8272   ??  S    11:17PM   0:00.64 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
abhinavsuri        596   0.0  0.1 435366576   5504   ??  S    11:17PM   0:01.07 /usr/sbin/universalaccessd launchd -s
abhinavsuri        582   0.0  0.1 435309600   4352   ??  S    11:17PM   0:09.88 /usr/sbin/cfprefsd agent
abhinavsuri        577   0.0  0.1 435357088   7248   ??  S    11:17PM   0:04.95 /usr/libexec/secd
abhinavsuri        576   0.0  0.0 435305280   3536   ??  S    11:17PM   0:02.43 /usr/sbin/distnoted agent
_softwareupdate    574   0.0  0.0 435304752   1328   ??  S    11:17PM   0:00.22 /usr/sbin/distnoted agent
_locationd         572   0.0  0.0 435305232   1344   ??  S    11:17PM   0:00.22 /usr/sbin/distnoted agent
_locationd         571   0.0  0.1 435343344   5184   ??  S    11:17PM   0:01.21 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
_cmiodalassistants   573   0.0  0.1 435343648   4880   ??  S    11:17PM   0:01.07 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
root               569   0.0  0.0 435341792   3584   ??  Ss   11:17PM   0:00.60 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
_softwareupdate    565   0.0  0.0 435368656   3104   ??  Ss   11:17PM   0:00.65 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
root               562   0.0  0.0 435340000   2304   ??  Ss   11:17PM   0:00.21 /usr/libexec/mobileactivationd
_driverkit         558   0.0  0.0 435240016   1104   ??  Ss   11:17PM   0:00.08 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDDrivers 0x100000d8a com.apple.AppleUserHIDDrivers
_driverkit         557   0.0  0.0 435240016   1088   ??  Ss   11:17PM   0:00.02 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial com.apple.IOUserDockChannelSerial 0x100000d89 com.apple.DriverKit-IOUserDockChannelSerial
_cmiodalassistants   554   0.0  0.0 435340864   2432   ??  Ss   11:17PM   0:00.12 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
_cmiodalassistants   553   0.0  0.0 435339680   2272   ??  Ss   11:17PM   0:00.06 /usr/libexec/cameracaptured
root               552   0.0  0.0 435349808   2752   ??  Ss   11:17PM   0:01.27 /usr/libexec/storagekitd
root               551   0.0  0.0 435301616   1760   ??  Ss   11:17PM   0:00.03 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
root               548   0.0  0.0 436612048   1728   ??  Ss   11:17PM   0:00.12 /Library/PrivilegedHelperTools/com.docker.vmnetd
_cmiodalassistants   545   0.0  0.0 435344544   2672   ??  Ss   11:17PM   0:00.41 /usr/sbin/appleh13camerad
_cmiodalassistants   544   0.0  0.0 435341984   2240   ??  Ss   11:17PM   0:00.11 /usr/libexec/com.apple.cmio.videodriverkithostextension.systemextension/Contents/MacOS/com.apple.cmio.videodriverkithostextension
root               543   0.0  0.0 435306432   1792   ??  Ss   11:17PM   0:00.25 /usr/sbin/mDNSResponderHelper
_audiomxd          541   0.0  0.0 435304768   1344   ??  S    11:17PM   0:00.22 /usr/sbin/distnoted agent
root               542   0.0  0.0 435340432   2000   ??  Ss   11:17PM   0:00.11 /System/Library/CoreServices/osanalyticshelper server-init
_iconservices      369   0.0  0.0 435340352   2240   ??  Ss   11:17PM   0:01.03 /System/Library/CoreServices/iconservicesd
root               538   0.0  0.1 435341472   4512   ??  Ss   11:17PM   0:01.08 /usr/sbin/WirelessRadioManagerd
root               537   0.0  0.0 435341968   2848   ??  Ss   11:17PM   0:02.71 /System/Library/CoreServices/TimeMachine/backupd
root               536   0.0  0.0 435340512   2224   ??  Ss   11:17PM   0:00.64 /usr/libexec/securityd_system
root               525   0.0  0.0 435304592   2000   ??  Ss   11:17PM   0:00.03 /usr/libexec/ApplicationFirewall/socketfilterfw
_appleevents       520   0.0  0.0 435341344   2256   ??  Ss   11:17PM   0:00.26 /System/Library/CoreServices/appleeventsd --server
_modelmanagerd     518   0.0  0.0 435390560   3440   ??  Ss   11:17PM   0:01.83 /usr/libexec/modelmanagerd
_cmiodalassistants   513   0.0  0.0 435304928   1344   ??  S    11:17PM   0:00.23 /usr/sbin/distnoted agent
root               514   0.0  0.0 435305120   1792   ??  Ss   11:17PM   0:00.24 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
root               503   0.0  0.0 435311328   2096   ??  Ss   11:17PM   0:02.47 /usr/libexec/audioclocksyncd
_biome             501   0.0  0.0 435339712   3552   ??  Ss   11:17PM   0:01.00 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed
root               486   0.0  0.0 435305504   1520   ??  S    11:17PM   0:00.26 /usr/sbin/distnoted agent
_coreaudiod        485   0.0  0.0 435371952   1968   ??  Ss   11:17PM   0:00.02 Core Audio Driver (ParrotAudioPlugin.driver)
root               476   0.0  0.0 435343008   3248   ??  Ss   11:17PM   0:00.69 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
_coreaudiod        450   0.0  0.0 435304816   1328   ??  S    11:17PM   0:00.23 /usr/sbin/distnoted agent
_analyticsd        422   0.0  0.1 435350384   7008   ??  Ss   11:17PM   0:02.87 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
_locationd         387   0.0  0.1 435366336  10160   ??  Ss   11:17PM   0:09.91 /usr/libexec/locationd
_accessoryupdater   349   0.0  0.0 435342880   3232   ??  Ss   11:17PM   0:01.21 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/accessoryupdaterd 120
_windowserver      445   0.0  0.0 435305504   1328   ??  S    11:17PM   0:00.24 /usr/sbin/distnoted agent
root               447   0.0  0.0 435341456   3216   ??  Ss   11:17PM   0:01.39 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Resources/backgroundtaskmanagementd -daemon
root               442   0.0  0.0 435345168   2992   ??  Ss   11:17PM   0:00.62 /usr/libexec/eligibilityd
root               434   0.0  0.1 435394848   4288   ??  Ss   11:17PM   0:51.16 /usr/libexec/mobileassetd
root               433   0.0  0.0 435340960   3376   ??  Ss   11:17PM   0:00.82 /usr/libexec/PowerUIAgent
_nsurlsessiond     424   0.0  0.0 435344096   2992   ??  Ss   11:17PM   0:00.40 /usr/libexec/nsurlsessiond --privileged
root               430   0.0  0.1 435352160   4512   ??  Ss   11:17PM   0:03.30 /usr/libexec/lsd runAsRoot
root               429   0.0  0.0 435342224   2672   ??  Ss   11:17PM   0:00.29 /usr/libexec/biometrickitd --launchd
root               426   0.0  0.0 435304848   1680   ??  Ss   11:17PM   0:00.08 /usr/libexec/apfsd
root               425   0.0  0.0 435340304   2576   ??  Ss   11:17PM   0:03.35 /usr/libexec/nehelper
root               427   0.0  0.0 435412384   2416   ??  Ss   11:17PM   0:01.23 /usr/libexec/aned
root               418   0.0  0.0 435329136   3552   ??  Ss   11:17PM   0:00.73 /System/Library/CoreServices/coreservicesd
_corespeechd       362   0.0  0.0 435334928   1024   ??  Ss   11:17PM   0:00.03 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
_timed             383   0.0  0.0 435340320   2560   ??  Ss   11:17PM   0:00.29 /usr/libexec/timed
_usbmuxd           384   0.0  0.0 435351152   1632   ??  Ss   11:17PM   0:00.24 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
abhinavsuri        415   0.0  0.1 435694960   7760   ??  Ss   11:17PM   0:04.48 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
root               413   0.0  0.1 435361824   8000   ??  Ss   11:17PM   0:05.54 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd system
root               411   0.0  0.0 435305120   1536   ??  Ss   11:17PM   0:00.36 /usr/libexec/logd_helper
root               354   0.0  0.0 435305088   1728   ??  Ss   11:17PM   0:00.07 /usr/libexec/IOMFB_bics_daemon
